,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
0,ability,0.3527262944482069,0.01727115015260758,0.7566763712956268,0.11986695299777024,0.1170297025293203,0.23224369641108533,0.17041292394444404,0.19709451404541725,0.2284138338782189,0.0,0.08665104753411133,0.08613777694154262,0.19150094081902705,0.0,0.1624079065207715,0.06670448259033095,0.05619645499981082,0.16681704593742877,0.022979534495051093,0.35424722437234135,0.009036135439845869,0.2889406555701925,0.17039549582707045,0.04797955969847098,0.2651405125477683
1,able,1.6727455319801,0.0,0.44247662433680107,0.2777323637795693,0.026564446474463876,0.12386470279758278,0.22207588449623175,0.0020518909919190922,0.39175836095848054,0.0,0.060973333319463405,0.5946139591471713,0.10278468683524793,0.0679418297806207,0.5117264236902557,0.07217016875028905,0.33913667388969887,0.06766256003799541,0.10930207699308624,0.1911268046854142,0.2907606820641524,0.44200251806004975,0.11299426307455226,0.08737750230829384,0.1492189632266272
2,abortion,0.0,0.0,0.0,0.4901269579716584,0.0,0.0,0.0,1.1125072334196986,0.0,0.0,0.0,0.0,0.6038011443441144,0.0,0.0,0.0,1.3823854373316353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17882920928518728
3,absolutely,0.8259202587943755,0.03949183844488115,0.08051453684883005,0.019572234244576398,0.059656786514399165,0.04054511946848516,0.0,0.043777225238331816,0.0,0.0010890250550325898,0.028702490073980295,0.11881467569078444,0.12193762859078618,0.0,0.15140345471255068,0.046518738884343123,0.030598586699767092,0.056730282631467226,0.025491586497900797,0.0681689655376786,0.020743476534759466,0.021996476541808526,0.07077814346098354,0.022650145381484334,0.025702047989180715
4,abuse,0.0,0.0,0.6667517539151234,0.0,0.052088161242833164,0.0,0.0,0.11183219188700003,0.0,0.0,0.0,0.0,0.0,0.013006020078551759,0.04789702492908371,0.0,1.5564760554573516,0.0,1.6420473800534487,0.004881620666455155,0.04060152527857296,0.0,0.0,0.0,0.0
5,accept,0.270020719624452,0.030033907885527306,0.15460420444201609,0.01541850080658088,0.03041721647261158,0.02046907051802251,0.001863208919670438,0.030199907809449242,0.0037529134133036258,0.0,0.0,0.21856758148074612,0.3046976416106514,0.0,0.16587033077311428,0.0,0.013830561358806292,0.20308657602773,0.0,0.04766740521887229,0.03696228085204426,0.0,0.10638992109595816,0.0,0.0
6,access,0.0,0.0,0.9821230131270894,1.5615986213675965,0.0,0.4640081699447947,0.48968866361031843,0.09318528315409683,0.0,0.0,0.028456603674080743,0.0,0.031559675848838,0.08814136817156622,0.0,0.0,0.20827832498578136,0.189706168446291,0.18318841116370332,0.02145677964149499,0.05871904339941266,0.36118931887252403,0.014207659788990648,0.14976207453459553,0.12346975634280878
7,according,0.0,0.14846439420544175,0.4294037770325176,0.15823075695581212,0.13839928444488106,0.11699533879418873,0.08953652062215033,0.1370467686072761,0.00693706568141977,0.183543170080701,0.16032329560030376,0.0,0.003736115350942429,0.006033542356886573,0.0,0.04703158924156051,0.2213593035137529,0.2706151847095148,0.1808341505992686,0.15100817360505225,0.22643661058576234,0.2951627377254669,0.10487435890910074,0.10872341785394703,0.09204830809682692
8,account,0.08220940083837028,0.15728437095636988,0.24041928795098555,0.07376098633434916,0.012954648195279247,0.05963576276109229,0.0,0.010942515565457745,0.0,0.12530466460213086,0.023030629059003657,0.0,0.1910917168967773,0.040649275165294436,0.0008091025440129279,0.20706863552158639,0.0,0.05068721322138681,0.0,0.18460352827823026,0.5575765511485017,0.08958345812748897,0.0,0.04386739218655838,0.0738268946803797
9,accountability,0.16829206560522725,0.05044337218788072,0.6848792547970937,0.010502875598809693,0.2316518149545657,0.0,0.4143225081923267,0.0,0.0,0.0,0.0,0.0,0.01322023000671627,0.04667883792806059,0.15046739568415096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
