,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
0,ability,0.281546851074352,0.024954664788655056,0.0,0.09102835797659696,0.07483240959583096,0.0947339671749095,0.1670778094582782,0.0,0.0,0.19145761521544236,0.040342080561265724,0.0,0.0902414550680724,0.0,0.28719256720589587,0.030906304158550772,0.045786925459584904,0.009475986231079092,0.025771143268092066,0.19378645679590362,0.0,0.18989750641107297,0.04745023160766198,0.16453538156855918,0.17914779508630596,0.014773546190947116,0.06277546491041944,0.022737337426790526,0.03556868507322834,0.1831848970918149,0.06969021576663773,0.7674857746574899,0.29309914682500515,0.008994672668052449,0.116189697994712,0.0,0.2185667609683132,0.023984936994354604,0.2471462451567028,0.15268824665507671,0.13140076155858216,0.21162478424234882,0.039297992239536395,0.04475454441549338,0.011922933514792166,0.05174823335403839,0.0,0.08386142124971888,0.11578126477487972,0.001946695622680981
1,able,0.5246612971587638,0.0,0.18056805461271996,0.2510462248620499,0.016034909488060533,0.29968774356515154,0.23867368997850621,0.0,0.10232601536711207,0.07647056764567346,0.054519756967550244,0.30872203078236904,0.4275197708155791,0.044512114832842925,0.12348080669212659,0.04430022584039872,0.05144510042433077,0.05247018890621361,0.10792711529866253,0.0,0.09175261260567527,0.2603425513209458,0.12911207026494245,0.05734300779813204,0.04867847418387267,0.0,0.16764296562782152,0.03743950452489102,0.27371591335680884,0.04139869943028452,0.0,0.6982734337333293,1.714022138212355,0.013305587024475228,0.41448734467713305,0.10958190955847544,0.0,0.08172182604731722,0.0666186210223186,0.03709111010341107,0.044650474238719054,0.2612724141361742,0.09751758908896177,0.0,0.0,0.0017608628715914093,0.0,0.0684579342452373,0.0,0.0
2,abortion,0.0,0.0,0.0,0.19377556376626212,0.0,0.0,0.0,0.0,0.0,0.438202858889832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361837433355283,0.0,0.0,0.0,0.0,0.0,0.22303563824056405,0.0,0.0,0.2612119954530644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277680581278507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0550872872142655,0.0,0.0,0.0,0.0
3,absolutely,0.07138133915663437,0.011683562854308065,0.01550803540020185,0.014186888866438313,0.024675212421410266,0.020874495285242416,0.0,0.0,0.1605768637314818,0.11314977965084207,0.0,0.11719700861713299,0.01082830574525319,0.0,0.0422252124346618,0.03738106577721267,0.0212411860137951,0.020558271129436416,0.0182931486860347,0.03846056809037036,0.002852003522828506,0.0,0.006440816150914558,0.05823237332165084,0.006077035870655408,0.010091869904869535,0.0025407031097645113,0.012501272285145637,0.003143848938021537,0.023505363303457358,0.04086130013613346,0.06815030095027132,0.8405792539686339,0.0,0.09256284519148225,0.00893254402172924,0.03106307557477005,0.043615746512685356,0.04274179475259852,0.048048110593657975,0.010515717761058797,0.0,0.026343269996602633,0.029606701963263014,0.06117557956586695,0.014524175815887939,0.0,0.004258983951029952,0.07237381502706278,0.04446076704755864
4,abuse,0.0,0.0,0.01117314109439264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007067041113062721,0.0,0.0,1.0000356385030977,0.0,1.3912082327874131,0.03570226117200801,0.0338889461491429,0.0,0.0,0.0,0.019960426400361907,0.12011502489324373,0.0,0.0,1.3977221137925484,0.0,0.026668833983663983,0.23639002901627232,0.0,0.0,0.1259561763638015,0.09303797541940348,0.21589620996183378,0.17000520815111517,0.03739459858456651,0.0,0.0,0.0,0.0,0.0,0.0,0.015432330303501243,0.0,0.0,0.05828326715935799,0.0
5,accept,0.11084255887105263,0.006390936811254016,0.0,0.004968207300534939,0.10615391701470721,0.0018730032242262923,0.0,0.0,0.01728944693209218,0.30746887482697705,0.0,0.11237626228826339,0.25082335509655246,0.0,0.04420007819033827,0.0,0.0,0.05924003454742833,0.0,0.021292982719507966,0.027713134017303857,0.0,0.0,0.0841109947021805,0.0,0.046463061876702745,0.0,0.0,0.008344387345529903,0.01245874204036093,0.02541712057080022,0.10502375532843752,0.23308763398076007,0.011401052652515101,0.028284690173670652,0.15990573836539215,0.08730867444626676,0.001127545580024511,0.0,0.09174053948381751,0.0,0.0,0.029022170679397143,0.0,0.0,0.0,0.025875413119893755,0.0,0.10919631020823661,0.03081009622334813
6,access,0.0,0.0,0.000955184787885428,1.494704017361424,0.02372574244139902,0.0,0.5217793033557011,0.0,0.0,0.027967128690790065,0.0,0.0,0.0,0.042179212776999195,0.0,0.0,0.013780296868463793,0.0,0.23917871362999274,0.05927830894725287,0.034804849167451184,0.4541897927305184,0.04736946262212653,0.016496765412011977,0.0,0.24454919266897068,0.10535029345786955,0.0,0.0822222557473359,0.4287779125380572,0.0,1.2109577713133037,0.0,0.36681414351879293,0.0,0.0,0.0,0.434660104463056,0.30921040240841846,0.0,0.0,0.0,0.0,0.021513149117653094,0.0,0.0,0.0,0.043718965917041115,0.0,0.0
7,according,0.012013025099935404,0.0,0.1687060765240326,0.11488767034365813,0.019980457015660515,0.13845153624181616,0.047688955980451954,0.0608874982305815,0.0,0.0,0.03043181404255749,0.0,0.0,0.007136954497056945,0.08659658457197017,0.015291683960347297,0.30813535889232646,0.05458021953597377,0.09167810179018519,0.10080067094084905,0.0,0.08534624226309835,0.04484332152446253,0.09042554897437943,0.10927466685710488,0.15347300207305267,0.005720118975751922,0.05542440369945257,0.15389283228715983,0.04256015572528394,0.12242354199916884,0.1095689029828159,0.0,0.05580604317302068,0.0,0.019492121329879646,0.1871044128339339,0.05354665504875446,0.10300422293977313,0.19764040682435102,0.12794682987178999,0.0,0.09128790511495816,0.098003369856557,0.1210324477219718,0.0023230223043619156,0.0,0.0,0.03850556654701917,0.8851484884698125
8,account,0.0,0.028227576093937338,0.828695298524367,0.046241427019253545,0.016304391964870983,0.0,0.0,0.051023968193656455,0.0,0.14909561911005612,0.00754954484997441,0.0,0.0,0.026836739858687085,0.1039984135543675,0.19721775878158615,0.0,0.013917538377044425,0.0,0.01729954765652228,0.0,0.06271605561372674,0.0,0.0,0.0009756205204650635,0.03257360648642225,0.0,0.0,0.0,0.06451455405944931,0.008296115981950274,0.2098438976184758,0.0,0.0,0.060702369315446016,0.002425704242644943,0.0,0.0,0.01906435829081959,0.0,0.020758501719723377,0.0,0.0,0.0,0.0,0.0,0.0,0.0120147694654197,0.47553382628589286,0.37644772289560724
9,accountability,0.0,0.0,0.0,0.0,0.0,0.0,0.4016173067555654,0.0,0.026074152973116625,0.004932241477745687,0.0,0.0,0.029010755867306504,0.04764725438470154,0.0,0.0,0.004739457916580278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012586864363542056,0.0,0.2218888447462538,0.456293839046472,0.03749125385487015,0.0,0.024068576946291168,0.0,0.47239981400017717,0.0,0.19757280248148668,0.0,0.0,0.0,0.0,0.0,0.04572614878831666,0.07792204169137404,0.0,0.0,0.371533416663754,0.0
