,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74
0,ability,0.22627316892256316,0.040899530823978326,0.012202015122384783,0.066684719686026,0.013606059274028083,0.08718710188509525,0.03176610573325119,0.0,0.0,0.1639886873072911,0.034663518432452356,0.0,0.35609952893118285,0.0,0.2974187031977339,0.0,0.009454060049311186,0.135697337521144,0.03794473145753723,0.20877605194615156,0.0,0.12870276805104014,0.01775348928038836,0.12136406546620307,0.16827421998132763,0.03292204819063048,0.17763643923830397,0.0,0.046611952832930355,0.171002523563645,0.060027461993669234,0.026050088338971863,0.0,0.014377210899741746,0.09869361270217217,0.0,0.09286480108213613,0.0311374186536309,0.008539185346002055,0.10952411505272096,0.121743891658493,0.016621430645152507,0.47105423291341925,0.04180375774638133,0.06819601702595351,0.04311556741444688,0.05450804227795846,0.0,0.2721633283097319,0.0,0.0,0.1671823974509152,0.018732997773196376,0.0,0.2499410632539592,0.0,0.09397852425216667,0.0,0.07763542506656305,0.0860147805490067,0.0030986416826431686,0.03369159595491534,0.08743720341149037,0.18025973858835748,0.3423941656507067,0.0,0.23420295296362814,0.0,0.0,0.0,0.17626468143720847,0.08865542116130058,0.0,0.04910532046840365,0.14701334852549072
1,able,1.3935101909370626,0.0,0.2179188557789366,0.18892566043564135,0.0,0.07246390088706157,0.08029092719687536,0.0,0.0,0.025557190078773103,0.05773425349860567,0.27876521305975893,0.774341297356442,0.053232924710551736,0.14409253082876453,0.005745357854867148,0.01424793145938031,0.08094147781471243,0.06123635955230274,0.29159407374396273,0.03727421042901825,0.20064065128065692,0.09033344765738884,0.0351918189181442,0.047737530341412496,0.0,0.2566986472437085,0.03928325243493444,0.23563616916440056,0.06089753180036068,0.01801553678211055,0.09772455165200099,0.0,0.007521935105117086,0.3658955950925257,0.0,0.0,0.06848160046899059,0.0022068090866281588,0.03554450361011087,0.04802048362754421,0.10933163387856028,0.031526656668678495,0.0,0.0,0.0,0.6361326059362519,0.045617599296554,0.007215249991232974,0.06956148059525227,0.05885558454066455,0.06306254309961457,0.08803402250103468,0.1445655228489605,0.13208711696028255,0.0,0.24418480618724342,0.0,0.11836094473520728,0.07308567258616386,0.0,0.0,0.0031727138559906,0.03343006072489183,0.3172053880082277,0.0,1.0874229223844423,0.0,0.06753499335875603,0.014595440159949069,0.19620877542087412,0.0,0.055641942619498244,0.05252542730935027,0.086507185540071
2,abortion,0.0,0.0,0.12673839440369564,0.23124339968423063,0.0,0.0,0.0,0.0,0.0,0.27883531924930866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3096624671491129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.111155813317562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058592469524245405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873106841346596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3656279183399436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,absolutely,0.816472889622219,0.027870007549353187,0.011866021278301418,0.013762633928885912,0.0,0.04875710249185774,0.0,0.0,0.15690822578012664,0.10908458217108424,0.0,0.12265896262535565,0.023511418953525202,0.0,0.06529945866782734,0.023323695364617154,0.011905240810126715,0.04830237061888216,0.01859718886230379,0.0,0.007368130382901499,0.0,0.008089824801891014,0.04167109967946841,0.003449967148891984,0.0,0.0,0.013962924182754974,0.0065720907438005524,0.018291582479905002,0.0407932306657982,0.0,0.0,0.0,0.09554845103460873,0.0,0.015958884934881998,0.044888347991621676,0.00887448103910081,0.03293259848011216,0.004904356896205705,0.011259532725387272,0.07849015716154242,0.02564352975742155,0.03807033967446616,0.019589486651830263,0.0,0.0,0.05661721936920132,0.07574444262306153,0.01868024904801972,0.02301933544423354,0.0,0.007479222280291159,0.03400096498427043,0.0031170260195139284,0.0,0.0,0.013761048048658409,0.0037174235581751668,0.008007831133030607,0.014138959197955811,0.0,0.049314414011121264,0.0277638680707068,0.011712590391451555,0.19548341786465612,0.03695980810214925,0.0,0.0,0.0,0.0,0.0,0.0,0.0033655386361444643
4,abuse,0.0,0.0036729110022023703,0.10484094827468254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.269201112290368e-06,0.0,0.0,0.6232273284725743,0.0,1.9192023584604216,0.0,0.004080425232284914,0.0,0.0,0.0,0.0,0.1155039967616664,0.19222806297218129,0.0,1.396318702442425,0.0,0.044336432986605584,0.0,0.0,0.0,0.05113935472821258,0.0,0.10182882097740621,0.19108351565893744,0.0,0.0,0.0,0.0,0.4886405346762955,0.0,0.0,0.007843954766687084,0.0,0.0,0.07412796565846097,0.0,0.0,0.0,0.09870964539138846,0.058131844497325474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011028891342208956,0.030044337797622542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,accept,0.24773984442771652,0.048297686341056606,0.0,0.0,0.05366841661138773,0.0,0.005446132771766848,0.0,0.011666018645743834,0.28554953414203205,0.0,0.11497419577756912,0.0,0.0,0.0,0.0,0.0,0.02994333176792475,0.0,0.0,0.029428506162415522,0.0,0.0,0.08033495277866905,0.0,0.023945304507112596,0.0,0.05667177920251115,0.01590184013196258,0.005792316161807531,0.00885971118534667,0.0,0.0131657023977502,0.008353966695793719,0.023614349345915858,0.0025275423561543922,0.04054408044316948,0.002756554262889729,0.0,0.08929783147404625,0.0,0.03508133009116538,0.17784086660259527,0.0,0.0,0.0,0.11551786861672313,0.17894129746188442,0.21810652752345433,0.0,0.03177989063915856,0.0,0.002149238655937267,0.1400694652791468,0.03252251099058125,0.00763303481762264,0.061634112483918355,0.0020268588835619834,0.0,0.0,0.0,0.08737839581410801,0.0,0.019630668520264648,0.011047590286554342,0.0,0.049108584737675515,0.015864221534188174,0.0,0.0,0.0,0.04430214486290586,0.0,0.0009097935568049106,0.017996277308460668
6,access,0.0,0.0,0.0,1.3810258712410133,0.0,0.0,0.025290510027435178,0.0,0.0,0.0,0.0,0.0,0.48867028434143656,0.0314078987328579,0.15765966684567656,0.0,0.0,0.0,0.14572282289567678,0.0,0.0,0.28814376511280254,0.0,0.0,0.0,0.21775128556653378,1.434188179370507,0.0,0.08554877614851093,0.40488574255115384,0.0,0.0,0.0,0.14812597788557866,0.0,0.0,0.0,0.4032063226355516,0.0,0.0,0.0,0.22299077913939402,0.6031493628675789,0.02075373429081621,0.0,0.0,0.0,0.0,0.08245369968716999,0.0,0.0,0.156977474312918,0.0,0.0,0.0,0.10740009305222654,0.0,0.03120835244431148,0.04157235836697099,0.02922868681124025,0.0,0.0,0.0,0.12851526050582218,0.34600483308669205,0.0,0.0,0.0,0.0,0.0,0.504945499038608,0.0,0.0,0.033297350119997515,0.0
7,according,0.0,0.0,0.0,0.09912291445066922,0.0,0.08846005289812284,0.08425460382405757,0.04890362957696628,0.0,0.0,0.020352985458906105,0.0,0.0,0.0024823698108701634,0.09098032655345804,0.002290225933172722,0.2575250671124361,0.06518581584571956,0.1086246711344691,0.0,0.0,0.0643189861908402,0.018456831574291285,0.05556812562134119,0.08941112721403495,0.08912376133740739,0.0,0.05223791099775906,0.13486191126806676,0.006978625122577628,0.1166190201266566,0.0,0.0,0.00909370213615311,0.0,0.3073717859046643,0.09758578294263763,0.059471882525420204,0.03739881613043804,0.14335549909530404,0.08056030185507507,0.015415461741874354,0.30242543184431847,0.07872062082530135,0.03424864190243565,0.0,0.0,0.0,0.08969803923843361,0.0,0.0662207511861842,0.043679455939249566,0.0,0.0,0.05749585190060723,0.0832582018543122,0.10145778752998383,0.032704660068267784,0.08632889234333846,0.0,0.0,0.012851173714161366,0.04565353061595032,0.056230839220186464,0.09064500652178427,0.2384356901562973,0.0,0.8284044146834715,0.008149911630868341,0.0,0.0,0.0733937625294526,0.0,0.06193150284645465,0.10562762616909685
8,account,0.0,0.0,0.5396255313319157,0.014906883585252492,0.004721296338540013,0.0,0.0,0.030879838014717928,0.0,0.11633868954143677,0.0037982649069549074,0.0,0.0,0.02599640900725764,0.0,0.22567861332130118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001384082471265905,0.04135560291102408,0.0,0.01161492337150762,0.0,0.04419950934792099,0.004953217285267064,0.0,0.0,0.0,0.046615567312846495,0.5143358319036447,0.0,0.0,0.0,0.0,0.027110032388451624,0.0,0.284621465045749,0.0,0.0,0.0,0.0,0.0,0.0,0.523852574253307,0.0,0.002602851176268345,0.0,0.0,0.08602523762425304,0.0,0.05319409895221338,0.0,0.027348174366217785,0.00987492941977554,0.007588214309825334,0.014576443511485624,0.006291175458139196,0.0,0.3617173004729167,0.06640319024427953,0.0,0.24995500433797663,0.0,0.03928201697494275,0.0,0.0,0.0,0.0,0.0
9,accountability,0.012163250613187111,0.04888083455662745,0.033405724844710175,0.0,0.0,0.0,0.29174213369999763,0.0,0.017064693725098196,0.0,0.0,0.0,0.17797431015135318,0.04817712688028081,0.2043265170656491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018613484003156378,0.0,0.22219611606296052,0.0,0.0,0.0,0.0,0.0,0.39226366022134357,0.0,0.0,0.0,0.0,0.0,0.4968871062514847,0.0,0.0,0.06534389240305995,0.0,0.0,0.15452693592766148,0.3052312982792548,0.0,0.09759113208251609,0.03645402906703748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774564299737444,0.0,0.0,0.0,0.0,0.0,0.23982602070090006,0.0,0.0,0.0,0.0
