,term
0,ability
1,able
2,abortion
3,absolutely
4,abuse
5,accept
6,access
7,according
8,account
9,accountability
10,accounting
11,accounts
12,achieve
13,acres
14,act
15,action
16,actions
17,active
18,activities
19,activity
20,acts
21,actually
22,add
23,added
24,addition
25,additional
26,address
27,addressed
28,addressing
29,adequate
30,administration
31,administrations
32,administrative
33,adopted
34,adoption
35,advantage
36,affairs
37,affect
38,affected
39,afford
40,affordable
41,afghanistan
42,africa
43,age
44,agencies
45,agency
46,ago
47,agree
48,agreed
49,agreement
50,agreements
51,agricultural
52,agriculture
53,ahead
54,aid
55,aids
56,air
57,aircraft
58,aisle
60,allies
61,allow
62,allowed
63,allowing
64,allows
65,alternative
66,amendment
67,amendments
68,america
69,american
70,americans
71,americas
72,amounts
73,analysis
74,andam
75,andhave
76,andthink
77,annual
78,answer
79,anybody
80,apply
81,appreciate
82,approach
83,appropriate
84,appropriation
85,appropriations
86,approval
87,approved
88,approximately
89,april
90,area
91,areas
92,argue
93,argument
94,arizona
95,armed
96,arms
97,army
98,article
99,aside
100,ask
101,asked
102,asking
103,asmay
104,asresult
105,assets
106,assist
107,assistance
108,associated
109,association
110,assure
111,attack
112,attacks
113,attempt
114,attention
115,attime
116,attorney
117,august
118,authority
119,authorization
120,authorized
121,available
122,average
123,avoid
124,aware
125,away
126,bad
127,balance
128,balanced
129,ban
130,bank
131,banking
132,bankruptcy
133,banks
134,base
135,based
136,basic
137,basically
138,basis
139,battle
140,began
141,begin
142,beginning
143,behalf
144,believe
145,benefit
146,benefits
147,best
148,better
149,big
150,billion
151,billions
152,bills
153,bipartisan
154,bit
155,black
156,block
157,board
158,body
159,border
160,born
161,branch
162,break
163,bring
164,bringing
165,brought
166,budget
167,build
168,building
169,built
170,burden
171,bureau
173,business
174,businesses
175,buy
177,called
178,calls
179,came
180,campaign
181,cancer
182,capacity
183,capital
184,care
185,career
186,carefully
188,carry
189,case
190,cases
191,cause
192,caused
193,center
194,centers
195,central
196,century
197,certain
198,certainly
199,chair
200,chairman
201,challenge
202,challenges
203,chamber
204,chance
205,change
206,changed
207,changes
208,charge
209,chemical
210,chief
211,child
212,children
213,china
214,chinese
215,choice
216,choices
217,choose
218,circuit
219,circumstances
220,cities
221,citizens
222,city
223,civil
224,claim
225,claims
226,class
227,clean
228,clear
229,clearly
231,close
232,closing
233,coal
234,coast
235,code
236,colleague
237,colleagues
238,college
239,colorado
240,columbia
241,combat
242,come
243,comes
244,coming
245,commend
246,comments
247,commerce
248,commercial
249,commission
250,commitment
251,committed
252,committee
253,committees
254,common
255,communities
256,community
257,companies
258,company
259,compensation
260,compete
261,competition
262,competitive
263,complete
264,completely
265,comprehensive
266,compromise
267,concept
268,concern
269,concerned
270,concerns
271,conclusion
272,conditions
273,conduct
274,conferees
275,conference
276,confidence
277,conflict
278,congress
279,congressional
280,congressman
281,consent
282,consequences
283,conservation
284,consider
285,consideration
286,considered
287,considering
288,consistent
289,constituents
290,constitution
291,constitutional
292,construction
293,consume
294,consumer
295,consumers
296,contained
297,contains
298,continue
299,continued
300,continues
301,continuing
302,contract
303,contracts
304,contributions
305,control
306,cooperation
307,corporate
308,corporation
309,corporations
310,corps
311,correct
312,cost
313,costs
314,council
315,counsel
316,countries
317,country
318,county
319,courage
320,course
321,court
322,courts
323,cover
324,coverage
325,covered
326,create
327,created
328,creating
329,creation
330,credit
331,crime
332,crimes
333,criminal
334,crisis
335,critical
336,current
337,currently
338,cut
339,cuts
340,cutting
342,damage
343,dangerous
344,data
345,date
346,day
347,days
348,deal
349,dealing
350,death
351,debate
352,debt
353,decade
354,decades
355,december
356,decide
357,decided
358,decision
