"","topics_words"
"1","going,think,say,said,want,know,just,dont,things,let"
"2","spending,deficit,cuts,cut,taxes,reduction,programs,congress,spend,reduce"
"3","funding,appropriations,funds,fiscal,programs,year,fund,assistance,level,emergency"
"4","health,care,insurance,medical,coverage,patients,costs,affordable,access,services"
"5","war,world,vietnam,troops,peace,forces,military,gulf,men,soldiers"
"6","jobs,economy,unemployment,economic,create,job,growth,manufacturing,work,lost"
"7","school,schools,students,teachers,high,public,districts,kids,parents,children"
"8","tax,taxes,income,relief,credit,code,cuts,revenue,families,cut"
"9","speaker,house,madam,time,members,consume,thank,asmay,yield,balance"
"10","amendment,chairman,offered,does,support,language,oppose,think,colleagues,simply"
"11","energy,coal,gas,fuel,natural,conservation,sources,power,policy,technologies"
"12","senator,senators,distinguished,senate,colleague,friend,floor,thank,committee,think"
"13","legislation,act,support,important,colleagues,today,piece,provisions,bipartisan,passed"
"14","veterans,va,affairs,benefits,vietnam,care,medical,service,disabled,compensation"
"15","security,homeland,department,terrorist,terrorism,terrorists,attacks,attack,threat,national"
"16","social,security,benefits,trust,retirement,fund,surplus,benefit,age,funds"
"17","crime,enforcement,law,police,violence,crimes,officers,gun,victims,justice"
"18","treaty,missile,arms,missiles,control,weapons,agreement,strategic,nato,administration"
"19","drug,drugs,prescription,abuse,treatment,seniors,use,illegal,prices,enforcement"
"20","service,life,served,years,family,honor,university,man,career,great"
"21","program,programs,grant,loan,assistance,eligible,support,training,benefits,participate"
"22","small,business,businesses,firms,capital,companies,regulations,company,new,economy"
"23","farmers,farm,agriculture,agricultural,producers,prices,price,production,market,family"
"24","nuclear,weapons,waste,iran,arms,testing,power,sanctions,chemical,missiles"
"25","research,science,cancer,disease,technology,scientific,development,medical,national,human"
"26","rights,human,civil,religious,discrimination,freedom,voting,right,equal,act"
"27","rural,communities,community,local,areas,services,development,economic,urban,county"
"28","soviet,union,freedom,independence,arms,europe,human,world,free,afghanistan"
"29","children,child,parents,families,family,care,abuse,kids,help,home"
"30","trade,agreement,agreements,exports,countries,free,products,export,foreign,industry"
"31","iraq,troops,iraqi,afghanistan,soldiers,military,forces,weapons,administration,war"
"32","housing,affordable,families,home,public,homes,lowincome,section,urban,assistance"
"33","resolution,joint,support,continuing,house,action,urge,congress,international,week"
"34","land,forest,lands,acres,management,indian,wildlife,public,conservation,interior"
"35","committee,chairman,subcommittee,member,ranking,members,staff,thank,committees,work"
"36","million,year,project,cut,request,cost,aid,additional,aids,increase"
"37","federal,government,employees,private,agencies,local,governments,sector,agency,property"
"38","women,men,abortion,violence,cancer,woman,young,lives,equal,victims"
"39","water,river,project,environmental,clean,projects,corps,epa,resources,environment"
"40","united,states,foreign,nations,international,countries,world,policy,thes,aid"
"41","air,force,clean,epa,aircraft,environmental,base,environment,standards,quality"
"42","medicare,seniors,prescription,medicaid,senior,plan,coverage,cuts,benefit,care"
"43","act,section,law,congress,information,authority,commission,administration,public,provision"
"44","oil,gas,prices,price,companies,production,natural,gulf,supply,industry"
"45","debt,trillion,pay,limit,fiscal,deficits,deficit,national,surplus,bankruptcy"
"46","rule,rules,committee,order,consideration,open,debate,house,provides,shall"
"47","amendments,vote,debate,leader,majority,votes,senators,agreement,offer,tomorrow"
"48","senate,house,passed,senators,committee,majority,representatives,leader,bills,floor"
"49","campaign,election,political,reform,elections,public,finance,democracy,democratic,party"
"50","money,spend,spent,dollars,fund,pay,taxpayers,taxpayer,funds,save"
"51","immigration,border,illegal,mexico,legal,enforcement,law,country,laws,reform"
"52","intelligence,information,community,director,committee,oversight,national,agency,foreign,activities"
"53","welfare,reform,work,child,poverty,training,programs,care,families,states"
"54","conference,report,conferees,agreement,provisions,language,provision,house,included,compromise"
"55","defense,military,armed,forces,department,missile,personnel,secretary,force,army"
"56","china,chinese,human,peoples,status,relations,policy,democracy,government,freedom"
"57","workers,employees,labor,employers,benefits,employee,employer,work,retirement,unemployment"
"58","park,national,service,historic,river,area,association,site,interior,natural"
"59","transportation,highway,safety,infrastructure,projects,public,construction,project,trust,fund"
"60","space,station,science,technology,mission,scientific,future,international,commercial,project"
"61","budget,balanced,fiscal,balance,cuts,deficit,year,presidents,deficits,priorities"
"62","israel,peace,east,middle,iran,aid,region,violence,terrorism,foreign"
"63","judge,nomination,nominees,judicial,circuit,judges,judiciary,court,attorney,justice"
"64","court,supreme,courts,constitution,justice,constitutional,decision,case,cases,law"
"65","banks,insurance,financial,credit,industry,bank,banking,companies,loan,loans"
"66","billion,deficit,year,cost,cut,years,going,savings,increase,costs"
"67","people,country,work,want,help,government,young,know,need,come"
"68","percent,rate,increase,year,rates,income,average,years,increased,inflation"
"69","wage,minimum,increase,hour,poverty,working,workers,raise,families,pay"
"70","guard,coast,marine,reserve,army,national,gulf,duty,active,personnel"
"71","education,students,college,student,programs,educational,teachers,higher,university,science"
"72","american,americans,america,freedom,history,nation,flag,today,great,day"
"73","district,columbia,city,county,congressional,districts,congress,residents,new,project"
"74","food,safety,agriculture,products,assistance,aid,consumers,emergency,agricultural,programs"
"75","state,states,local,new,governor,department,south,governments,home,waste"
